episode,state,action,agent_rule,env_rule,cum_return
0,"((3, 0, 2), 2, 0)",0,2,1,-1
0,"((3, 1, 2), 1, 1)",0,1,1,0
0,"((2, 0, 3), 3, 0)",0,3,1,-1
0,"((2, 0, 3), 1, 1)",0,1,1,0
0,"((0, 1, 2), 1, 2)",0,1,1,1
0,"((3, 1, 2), 0, 0)",0,0,1,0
0,"((2, 0, 3), 3, 0)",0,3,1,-1
0,"((1, 2, 3), 1, 1)",0,1,1,0
0,"((2, 1, 3), 3, 0)",0,3,1,-1
0,"((0, 1, 2), 3, 0)",0,3,1,-2
0,"((0, 2, 1), 0, 0)",0,0,1,-3
0,"((1, 3, 2), 0, 0)",0,0,1,-4
0,"((2, 3, 0), 3, 0)",0,3,1,-5
0,"((0, 2, 1), 2, 0)",0,2,1,-6
0,"((0, 2, 3), 0, 0)",0,0,1,-7
0,"((2, 1, 3), 0, 0)",0,0,1,-8
0,"((2, 3, 1), 3, 0)",0,3,1,-9
0,"((2, 3, 1), 3, 0)",0,3,1,-10
0,"((1, 3, 0), 2, 0)",1,2,1,-11
0,"((3, 2, 1), 2, 0)",0,2,1,-12
0,"((2, 0, 1), 3, 0)",0,3,1,-13
0,"((1, 2, 3), 1, 1)",0,1,1,-12
0,"((0, 2, 1), 0, 0)",1,0,1,-13
0,"((3, 2, 1), 2, 0)",1,2,1,-14
0,"((3, 2, 1), 2, 0)",1,2,1,-15
0,"((2, 0, 3), 1, 1)",2,1,1,-14
0,"((1, 2, 0), 1, 2)",0,1,0,-13
0,"((3, 2, 1), 2, 0)",0,2,0,-14
0,"((0, 3, 1), 1, 0)",2,1,0,-15
0,"((2, 1, 3), 0, 1)",0,0,0,-14
0,"((3, 0, 1), 3, 0)",0,3,0,-15
0,"((3, 0, 1), 1, 0)",0,1,0,-16
0,"((1, 2, 3), 1, 0)",0,1,0,-17
0,"((3, 2, 1), 3, 0)",0,3,0,-18
0,"((0, 2, 1), 3, 0)",0,3,0,-19
0,"((2, 1, 3), 0, 1)",0,0,0,-18
0,"((3, 1, 2), 1, 0)",1,1,0,-19
0,"((0, 1, 2), 3, 0)",0,3,0,-20
0,"((0, 2, 3), 1, 0)",1,1,0,-21
0,"((1, 3, 0), 0, 1)",0,0,0,-20
0,"((3, 0, 1), 2, 0)",0,2,0,-21
0,"((2, 3, 0), 1, 0)",0,1,0,-22
0,"((3, 0, 2), 2, 0)",0,2,0,-23
0,"((2, 1, 0), 1, 0)",0,1,0,-24
0,"((2, 0, 1), 2, 0)",0,2,0,-25
0,"((1, 3, 0), 1, 0)",0,1,0,-26
0,"((0, 3, 1), 2, 0)",0,2,0,-27
0,"((1, 3, 2), 0, 1)",0,0,0,-26
0,"((3, 1, 0), 3, 0)",0,3,0,-27
0,"((2, 3, 1), 2, 0)",0,2,0,-28
0,"((3, 2, 0), 3, 0)",0,3,0,-29
0,"((0, 3, 2), 2, 0)",0,2,0,-30
0,"((2, 3, 0), 0, 1)",0,0,0,-29
0,"((2, 3, 1), 2, 0)",0,2,0,-30
0,"((3, 0, 1), 2, 0)",1,2,0,-31
0,"((0, 1, 2), 2, 0)",1,2,0,-32
0,"((0, 2, 1), 0, 1)",0,0,0,-31
0,"((3, 1, 2), 0, 2)",0,0,0,-30
0,"((3, 0, 2), 3, 0)",0,3,0,-31
0,"((3, 2, 0), 1, 0)",0,1,0,-32
0,"((1, 0, 2), 2, 0)",0,2,0,-33
0,"((3, 1, 2), 1, 0)",0,1,0,-34
0,"((1, 2, 0), 1, 0)",1,1,0,-35
0,"((3, 2, 0), 2, 0)",0,2,0,-36
0,"((1, 2, 0), 2, 0)",0,2,0,-37
0,"((1, 0, 3), 2, 0)",0,2,0,-38
0,"((0, 3, 1), 1, 0)",0,1,0,-39
0,"((2, 3, 0), 0, 1)",0,0,0,-38
0,"((2, 1, 0), 3, 0)",1,3,0,-39
0,"((3, 1, 2), 2, 0)",0,2,0,-40
0,"((3, 0, 1), 3, 0)",0,3,0,-41
0,"((3, 0, 1), 2, 0)",1,2,0,-42
0,"((2, 0, 3), 3, 0)",2,3,0,-43
0,"((0, 1, 2), 1, 0)",0,1,0,-44
0,"((3, 2, 1), 0, 1)",0,0,0,-43
0,"((2, 1, 3), 3, 0)",0,3,0,-44
0,"((0, 3, 2), 1, 0)",1,1,0,-45
0,"((0, 1, 2), 0, 1)",0,0,0,-44
0,"((3, 0, 2), 0, 2)",0,0,0,-43
0,"((2, 3, 0), 1, 0)",0,1,0,-44
0,"((3, 0, 1), 3, 0)",1,3,0,-45
0,"((3, 1, 2), 3, 0)",2,3,0,-46
0,"((2, 3, 0), 3, 0)",0,3,0,-47
0,"((0, 2, 3), 3, 0)",1,3,0,-48
0,"((3, 1, 2), 0, 1)",0,0,0,-47
0,"((1, 0, 2), 3, 0)",0,3,0,-48
0,"((1, 2, 0), 1, 0)",0,1,0,-49
0,"((3, 0, 2), 0, 1)",1,0,0,-48
0,"((3, 2, 1), 1, 0)",0,1,0,-49
0,"((1, 0, 3), 3, 0)",0,3,0,-50
0,"((3, 1, 2), 1, 0)",0,1,0,-51
0,"((2, 0, 1), 2, 0)",2,2,0,-52
0,"((2, 3, 0), 2, 0)",1,2,0,-53
0,"((0, 2, 1), 2, 0)",0,2,0,-54
0,"((0, 1, 3), 2, 0)",1,2,0,-55
0,"((0, 1, 2), 0, 1)",0,0,0,-54
0,"((1, 0, 2), 0, 2)",0,0,0,-53
0,"((0, 1, 3), 1, 0)",0,1,0,-54
0,"((0, 2, 3), 0, 1)",0,0,0,-53
0,"((0, 2, 1), 0, 2)",0,0,0,-52
0,"((2, 3, 1), 0, 3)",0,0,1,-51
0,"((3, 1, 2), 3, 0)",0,3,1,-52
0,"((1, 0, 3), 1, 1)",1,1,1,-51
0,"((0, 2, 3), 1, 2)",0,1,1,-50
0,"((1, 0, 2), 0, 0)",0,0,1,-51
0,"((0, 3, 1), 1, 1)",0,1,1,-50
0,"((0, 2, 3), 0, 0)",0,0,1,-51
0,"((0, 3, 1), 0, 0)",0,0,1,-52
0,"((0, 3, 1), 0, 0)",0,0,1,-53
0,"((0, 3, 1), 2, 0)",1,2,1,-54
0,"((1, 2, 3), 0, 0)",0,0,1,-55
0,"((0, 2, 1), 3, 0)",0,3,1,-56
0,"((0, 3, 2), 0, 0)",0,0,1,-57
0,"((1, 3, 0), 3, 0)",1,3,1,-58
0,"((0, 2, 3), 2, 0)",0,2,1,-59
0,"((1, 3, 0), 0, 0)",0,0,1,-60
0,"((2, 3, 1), 2, 0)",0,2,1,-61
0,"((1, 2, 0), 0, 0)",2,0,1,-62
0,"((1, 3, 2), 2, 0)",0,2,1,-63
0,"((0, 1, 3), 3, 0)",0,3,1,-64
0,"((2, 1, 3), 0, 0)",0,0,1,-65
0,"((1, 0, 3), 1, 1)",1,1,1,-64
0,"((2, 1, 0), 1, 2)",0,1,1,-63
0,"((1, 2, 3), 2, 0)",0,2,1,-64
0,"((3, 1, 0), 3, 0)",0,3,1,-65
0,"((2, 0, 3), 1, 1)",1,1,1,-64
0,"((0, 3, 2), 1, 2)",0,1,1,-63
0,"((3, 2, 0), 0, 0)",0,0,1,-64
0,"((2, 3, 0), 2, 0)",0,2,1,-65
0,"((3, 0, 2), 3, 0)",1,3,1,-66
0,"((3, 0, 2), 3, 0)",1,3,1,-67
0,"((3, 0, 1), 2, 0)",2,2,1,-68
0,"((0, 1, 3), 0, 0)",3,0,1,-69
0,"((2, 0, 3), 0, 0)",0,0,1,-70
0,"((0, 2, 3), 1, 1)",0,1,1,-69
0,"((3, 1, 0), 0, 0)",0,0,1,-70
0,"((1, 3, 2), 2, 0)",0,2,1,-71
0,"((3, 2, 0), 0, 0)",1,0,1,-72
