episode,state,action,agent_rule,env_rule,cum_return
0,"[1, 3, 0, 1, 1]",3,1,1,1
0,"[3, 1, 0, 2, 0]",0,2,1,0
0,"[2, 1, 0, 2, 0]",0,2,1,-1
0,"[3, 2, 1, 2, 0]",0,2,1,-2
0,"[3, 1, 0, 0, 0]",3,0,1,-3
0,"[3, 2, 1, 0, 0]",3,0,1,-4
0,"[2, 3, 1, 0, 0]",3,0,1,-5
0,"[3, 1, 2, 1, 1]",3,1,1,-4
0,"[3, 1, 2, 0, 0]",3,0,1,-5
0,"[3, 0, 1, 0, 0]",3,0,1,-6
0,"[3, 0, 1, 0, 0]",3,0,1,-7
0,"[2, 1, 0, 0, 0]",3,0,1,-8
0,"[2, 3, 1, 3, 0]",3,3,1,-9
0,"[0, 1, 3, 1, 1]",3,1,1,-8
0,"[1, 0, 3, 2, 0]",3,2,1,-9
0,"[2, 1, 0, 1, 1]",0,1,1,-8
0,"[0, 1, 2, 2, 0]",0,2,1,-9
0,"[0, 3, 2, 0, 0]",0,0,1,-10
0,"[0, 2, 3, 1, 1]",3,1,1,-9
0,"[2, 3, 1, 0, 0]",0,0,1,-10
0,"[2, 3, 0, 1, 1]",3,1,1,-9
0,"[2, 3, 0, 1, 2]",3,1,1,-8
0,"[1, 2, 3, 1, 3]",3,1,0,-7
0,"[1, 0, 2, 0, 4]",1,0,1,-6
0,"[0, 2, 1, 1, 5]",0,1,1,-5
0,"[2, 3, 0, 3, 0]",3,3,1,-6
0,"[1, 2, 0, 1, 1]",3,1,1,-5
0,"[0, 3, 1, 3, 0]",3,3,1,-6
0,"[1, 2, 0, 1, 1]",3,1,1,-5
0,"[0, 1, 3, 3, 0]",3,3,1,-6
0,"[3, 2, 1, 1, 1]",1,1,1,-5
0,"[3, 0, 1, 2, 0]",1,2,1,-6
0,"[2, 1, 3, 2, 0]",1,2,1,-7
0,"[0, 2, 3, 1, 1]",1,1,1,-6
0,"[3, 1, 0, 2, 0]",3,2,1,-7
0,"[2, 3, 0, 1, 1]",1,1,1,-6
0,"[1, 0, 3, 1, 2]",3,1,1,-5
0,"[0, 1, 2, 0, 0]",1,0,1,-6
0,"[0, 3, 1, 3, 0]",3,3,1,-7
0,"[1, 2, 3, 1, 1]",3,1,1,-6
0,"[2, 1, 3, 3, 0]",0,3,1,-7
0,"[3, 0, 2, 1, 1]",1,1,1,-6
0,"[0, 1, 2, 3, 0]",1,3,1,-7
0,"[2, 0, 3, 1, 1]",1,1,1,-6
0,"[3, 2, 0, 3, 0]",1,3,1,-7
0,"[3, 0, 2, 3, 0]",1,3,1,-8
0,"[3, 0, 2, 3, 0]",1,3,1,-9
0,"[1, 3, 2, 3, 0]",1,3,1,-10
0,"[1, 0, 3, 1, 1]",3,1,1,-9
0,"[3, 1, 2, 0, 0]",1,0,1,-10
0,"[0, 3, 1, 1, 1]",1,1,1,-9
0,"[0, 3, 1, 1, 2]",3,1,0,-8
0,"[1, 3, 2, 1, 0]",3,1,0,-9
0,"[0, 2, 3, 3, 0]",0,3,0,-10
0,"[3, 0, 2, 2, 0]",3,2,0,-11
0,"[3, 1, 2, 3, 0]",1,3,0,-12
0,"[1, 3, 0, 1, 0]",1,1,0,-13
0,"[3, 0, 2, 1, 0]",3,1,0,-14
0,"[2, 0, 1, 3, 0]",1,3,0,-15
0,"[3, 2, 0, 2, 0]",1,2,0,-16
0,"[3, 0, 2, 3, 0]",1,3,0,-17
0,"[2, 0, 3, 3, 0]",1,3,0,-18
0,"[2, 1, 3, 3, 0]",1,3,0,-19
0,"[2, 0, 1, 1, 0]",1,1,0,-20
0,"[2, 1, 3, 2, 0]",1,2,0,-21
0,"[3, 1, 2, 1, 0]",1,1,0,-22
0,"[1, 2, 3, 1, 0]",1,1,0,-23
0,"[2, 1, 0, 2, 0]",3,2,0,-24
0,"[1, 0, 3, 1, 0]",1,1,0,-25
0,"[2, 1, 0, 0, 1]",1,0,0,-24
0,"[0, 1, 2, 1, 0]",1,1,0,-25
0,"[1, 2, 3, 1, 0]",1,1,0,-26
0,"[3, 0, 2, 2, 0]",3,2,0,-27
0,"[3, 2, 0, 3, 0]",1,3,0,-28
0,"[3, 0, 1, 0, 1]",3,0,0,-27
0,"[0, 2, 1, 1, 0]",0,1,0,-28
0,"[0, 1, 2, 3, 0]",3,3,0,-29
0,"[2, 0, 3, 1, 0]",1,1,0,-30
0,"[0, 1, 2, 1, 0]",0,1,0,-31
0,"[3, 0, 1, 1, 0]",1,1,0,-32
0,"[2, 0, 3, 2, 0]",1,2,0,-33
0,"[0, 2, 3, 3, 0]",1,3,0,-34
0,"[0, 3, 1, 2, 0]",3,2,0,-35
0,"[2, 1, 3, 1, 0]",3,1,0,-36
0,"[3, 2, 1, 1, 0]",1,1,0,-37
0,"[2, 3, 0, 0, 1]",3,0,0,-36
0,"[1, 2, 0, 1, 0]",3,1,0,-37
0,"[3, 2, 0, 3, 0]",3,3,0,-38
0,"[3, 1, 2, 0, 1]",3,0,0,-37
0,"[1, 3, 2, 3, 0]",0,3,0,-38
0,"[0, 3, 2, 1, 0]",3,1,0,-39
0,"[3, 2, 0, 2, 0]",2,2,0,-40
0,"[0, 2, 1, 0, 1]",3,0,0,-39
0,"[1, 2, 3, 3, 0]",3,3,0,-40
0,"[2, 3, 1, 2, 0]",3,2,0,-41
0,"[2, 3, 1, 1, 0]",3,1,0,-42
0,"[0, 3, 2, 1, 0]",3,1,0,-43
0,"[3, 2, 1, 1, 0]",3,1,0,-44
0,"[2, 1, 3, 3, 0]",0,3,0,-45
0,"[3, 1, 2, 1, 0]",1,1,0,-46
0,"[2, 0, 1, 2, 0]",2,2,0,-47
0,"[0, 2, 3, 1, 0]",0,1,0,-48
0,"[2, 3, 0, 2, 0]",3,2,0,-49
0,"[2, 0, 3, 1, 0]",3,1,0,-50
0,"[0, 3, 2, 1, 0]",0,1,0,-51
0,"[3, 2, 0, 1, 0]",3,1,0,-52
0,"[2, 1, 0, 0, 1]",3,0,0,-51
0,"[0, 1, 2, 3, 0]",3,3,0,-52
0,"[1, 3, 0, 1, 0]",1,1,0,-53
0,"[2, 3, 1, 1, 0]",3,1,0,-54
0,"[1, 0, 2, 3, 0]",0,3,0,-55
0,"[2, 1, 3, 0, 1]",1,0,0,-54
0,"[1, 2, 0, 3, 0]",0,3,0,-55
0,"[3, 2, 0, 3, 0]",3,3,0,-56
0,"[3, 2, 1, 0, 1]",3,0,0,-55
0,"[2, 1, 0, 0, 2]",3,0,2,-54
0,"[0, 1, 3, 3, 0]",3,3,2,-55
0,"[1, 0, 3, 1, 0]",1,1,2,-56
0,"[0, 1, 3, 1, 0]",0,1,2,-57
0,"[2, 3, 1, 3, 0]",2,3,2,-58
0,"[3, 2, 1, 1, 0]",3,1,2,-59
0,"[0, 1, 3, 0, 0]",3,0,2,-60
0,"[3, 0, 1, 3, 0]",2,3,2,-61
0,"[2, 1, 3, 1, 0]",0,1,2,-62
0,"[2, 3, 1, 3, 0]",0,3,2,-63
0,"[1, 0, 3, 1, 0]",3,1,2,-64
0,"[2, 0, 3, 1, 0]",0,1,2,-65
0,"[0, 1, 2, 1, 0]",0,1,2,-66
