episode,episode_length,episode_return
0,250,-150
1,250,-142
2,250,-144
3,250,-142
4,250,-130
5,250,-122
6,250,-104
7,250,-60
8,250,-136
9,250,-104
10,250,-90
11,250,-86
12,250,-96
13,250,-110
14,250,-102
15,250,-82
16,250,-68
17,250,-68
18,250,-114
19,250,-64
20,250,-84
21,250,-70
22,250,-86
23,250,-68
24,250,-114
25,250,-106
26,250,-98
27,250,-78
28,250,-36
29,250,-62
30,250,-62
31,250,-80
32,250,-80
33,250,-44
34,250,-68
35,250,-82
36,250,-74
37,250,-44
38,250,-54
39,250,-62
40,250,-34
41,250,-82
42,250,-38
43,250,-18
44,250,-76
45,250,-60
46,250,-84
47,250,-30
48,250,-46
49,250,-60
50,250,-42
51,250,-14
52,250,-30
53,250,-50
54,250,-36
55,250,-50
56,250,-46
57,250,-26
58,250,-44
59,250,-18
60,250,-40
61,250,-40
62,250,-24
63,250,-68
64,250,-34
65,250,-24
66,250,-22
67,250,-50
68,250,-12
69,250,-6
70,250,-28
71,250,2
72,250,-14
73,250,-46
74,250,-10
75,250,-38
76,250,-28
77,250,4
78,250,-22
79,250,-32
80,250,-28
81,250,-20
82,250,-20
83,250,-18
84,250,-50
85,250,-12
86,250,8
87,250,0
88,250,-6
89,250,-14
90,250,-8
91,250,10
92,250,-22
93,250,-32
94,250,-6
95,250,2
96,250,-10
97,247,15
98,223,9
99,250,10
100,250,18
101,250,-20
102,250,34
103,250,2
104,250,8
105,250,8
106,250,0
107,250,10
108,250,-6
109,250,-4
110,250,22
111,250,-6
112,250,-4
113,250,8
114,250,2
115,250,14
116,250,-28
117,250,18
118,240,2
119,250,2
120,250,22
121,244,24
122,224,22
123,250,-2
124,250,22
125,250,14
126,250,10
127,227,23
128,250,2
129,216,20
130,237,11
131,250,8
132,250,16
133,250,4
134,199,27
135,250,-24
136,250,6
137,250,32
138,238,2
139,248,44
140,236,-10
141,233,21
142,250,8
143,231,11
144,250,-2
145,250,6
146,250,-2
147,250,18
148,250,22
149,239,11
150,227,17
151,250,16
152,249,17
153,250,-20
154,250,-2
155,250,24
156,250,-24
157,250,16
158,250,8
159,230,22
160,250,-10
161,250,10
162,250,2
163,250,24
164,209,19
165,250,10
166,212,26
167,250,-2
168,250,32
169,250,-14
170,221,11
171,250,12
172,250,6
173,250,6
174,250,12
175,242,14
176,250,26
177,250,30
178,250,-10
179,237,9
180,247,13
181,198,14
182,248,22
183,222,24
184,215,15
