episode,state,action,agent_rule,env_rule,episode_return
0,"((2, 0, 1), 0, 0)",0,0,1,-1
0,"((0, 2, 3), 1, 1)",0,1,1,0
0,"((1, 3, 2), 0, 0)",0,0,1,-1
0,"((3, 2, 1), 3, 0)",0,3,1,-2
0,"((1, 3, 2), 3, 0)",0,3,1,-3
0,"((2, 3, 0), 3, 0)",0,3,1,-4
0,"((2, 1, 3), 2, 0)",0,2,1,-5
0,"((3, 1, 2), 3, 0)",0,3,1,-6
0,"((0, 1, 3), 3, 0)",0,3,1,-7
0,"((2, 3, 0), 0, 0)",0,0,1,-8
0,"((2, 1, 3), 2, 0)",0,2,1,-9
0,"((2, 1, 0), 1, 1)",1,1,1,-8
0,"((2, 3, 0), 2, 0)",0,2,1,-9
0,"((1, 0, 3), 2, 0)",0,2,1,-10
0,"((1, 0, 2), 1, 1)",0,1,1,-9
0,"((0, 2, 3), 0, 0)",1,0,1,-10
0,"((1, 0, 2), 0, 0)",0,0,1,-11
0,"((2, 1, 3), 1, 1)",0,1,1,-10
0,"((3, 0, 1), 3, 0)",0,3,1,-11
0,"((2, 0, 1), 1, 1)",0,1,1,-10
0,"((1, 0, 2), 1, 2)",0,1,0,-9
0,"((2, 3, 0), 1, 0)",0,1,0,-10
0,"((1, 3, 2), 2, 0)",0,2,0,-11
0,"((1, 2, 0), 3, 0)",0,3,0,-12
0,"((2, 3, 1), 2, 0)",0,2,0,-13
0,"((0, 1, 3), 3, 0)",0,3,0,-14
0,"((1, 2, 3), 1, 0)",1,1,0,-15
0,"((0, 2, 3), 3, 0)",0,3,0,-16
0,"((1, 2, 3), 0, 1)",0,0,0,-15
0,"((1, 0, 2), 3, 0)",0,3,0,-16
0,"((0, 2, 3), 1, 0)",0,1,0,-17
0,"((3, 0, 1), 0, 1)",0,0,0,-16
0,"((0, 1, 3), 1, 0)",0,1,0,-17
0,"((2, 1, 0), 0, 1)",0,0,0,-16
0,"((2, 3, 1), 2, 0)",0,2,0,-17
0,"((2, 0, 3), 2, 0)",1,2,0,-18
0,"((0, 1, 3), 1, 0)",0,1,0,-19
0,"((3, 2, 0), 0, 1)",0,0,0,-18
0,"((3, 2, 0), 2, 0)",0,2,0,-19
0,"((0, 3, 2), 2, 0)",0,2,0,-20
0,"((3, 1, 0), 0, 1)",0,0,0,-19
0,"((3, 1, 2), 2, 0)",0,2,0,-20
0,"((3, 2, 0), 3, 0)",0,3,0,-21
0,"((0, 1, 2), 2, 0)",0,2,0,-22
0,"((1, 3, 0), 0, 1)",0,0,0,-21
