episode,episode_length,episode_return
0,249,-85
1,249,-101
2,249,-99
3,249,-85
4,249,-53
5,249,-67
6,249,-53
7,249,-33
8,249,-39
9,249,-53
10,249,-45
11,249,-33
12,249,-29
13,249,-35
14,249,-23
15,249,-35
16,249,25
17,249,-1
18,249,-1
19,249,-31
20,249,13
21,249,15
22,249,-9
23,249,-1
24,246,0
25,249,29
26,249,-3
27,249,-31
28,249,9
29,249,9
30,249,27
31,249,13
32,249,-7
33,249,15
34,249,-27
35,249,-5
36,246,-2
37,249,-13
38,249,5
39,244,10
40,249,-5
41,249,23
42,241,33
43,249,1
44,249,-5
45,249,1
46,249,27
47,227,5
48,249,13
49,249,-9
50,249,-37
51,247,-21
52,249,15
53,219,19
54,218,30
55,233,29
56,249,-23
57,249,25
58,231,5
59,234,2
60,249,-7
61,249,15
62,249,-7
63,240,16
64,236,24
65,249,1
66,212,24
67,194,26
68,249,-15
69,234,30
70,249,13
71,202,30
72,249,5
73,233,9
74,249,13
75,207,15
76,203,19
77,218,24
78,239,23
79,249,17
80,186,18
81,222,8
82,217,33
83,216,30
84,220,40
85,206,16
86,202,28
87,234,2
88,249,35
89,247,21
90,242,22
91,201,-3
92,249,7
93,248,24
94,239,23
95,249,-13
96,249,-3
97,239,5
98,225,7
99,249,-9
