episode,state,action,agent_rule,env_rule,cum_return
0,"[0, 3, 1, 3, 0]",2,3,2,-1
0,"[1, 0, 2, 3, 0]",2,3,2,-2
0,"[3, 0, 2, 2, 1]",2,2,2,-1
0,"[1, 3, 0, 2, 2]",2,2,1,0
0,"[2, 0, 1, 3, 0]",2,3,1,-1
0,"[1, 0, 2, 0, 0]",2,0,1,-2
0,"[0, 3, 2, 1, 1]",0,1,1,-1
0,"[0, 1, 3, 2, 0]",2,2,1,-2
0,"[2, 1, 3, 3, 0]",2,3,1,-3
0,"[2, 1, 3, 0, 0]",2,0,1,-4
0,"[0, 1, 3, 3, 0]",0,3,1,-5
0,"[0, 3, 1, 0, 0]",0,0,1,-6
0,"[2, 3, 0, 0, 0]",0,0,1,-7
0,"[2, 3, 0, 3, 0]",1,3,1,-8
0,"[3, 2, 0, 1, 1]",3,1,1,-7
0,"[1, 3, 2, 2, 0]",0,2,1,-8
0,"[0, 3, 1, 1, 1]",3,1,1,-7
0,"[3, 2, 0, 1, 2]",3,1,0,-6
0,"[1, 0, 3, 0, 3]",3,0,0,-5
0,"[0, 1, 3, 1, 0]",0,1,0,-6
0,"[3, 2, 1, 2, 0]",3,2,0,-7
0,"[3, 0, 2, 0, 1]",3,0,0,-6
0,"[3, 0, 1, 0, 2]",3,0,1,-5
0,"[2, 0, 3, 0, 0]",3,0,1,-6
0,"[1, 3, 2, 2, 0]",3,2,1,-7
0,"[0, 1, 3, 1, 1]",3,1,1,-6
0,"[0, 2, 3, 2, 0]",3,2,1,-7
0,"[1, 2, 3, 2, 0]",3,2,1,-8
0,"[1, 0, 3, 2, 0]",3,2,1,-9
0,"[3, 2, 1, 2, 0]",3,2,1,-10
0,"[2, 1, 0, 0, 0]",3,0,1,-11
0,"[3, 1, 2, 3, 0]",3,3,1,-12
0,"[0, 3, 1, 0, 0]",3,0,1,-13
0,"[1, 0, 3, 1, 1]",3,1,1,-12
0,"[1, 3, 2, 3, 0]",2,3,1,-13
0,"[1, 2, 3, 1, 1]",3,1,1,-12
0,"[2, 0, 1, 2, 0]",3,2,1,-13
0,"[2, 1, 3, 0, 0]",2,0,1,-14
0,"[3, 0, 2, 0, 0]",2,0,1,-15
0,"[3, 0, 2, 2, 0]",2,2,1,-16
0,"[3, 2, 1, 2, 0]",2,2,1,-17
0,"[1, 0, 2, 1, 1]",2,1,1,-16
0,"[3, 2, 1, 2, 0]",2,2,1,-17
0,"[0, 2, 3, 1, 1]",2,1,1,-16
0,"[0, 3, 1, 1, 2]",2,1,1,-15
0,"[1, 0, 2, 1, 3]",3,1,0,-14
0,"[2, 0, 1, 2, 0]",2,2,0,-15
0,"[3, 1, 0, 1, 0]",0,1,0,-16
0,"[2, 0, 1, 0, 1]",3,0,0,-15
0,"[1, 0, 2, 1, 0]",0,1,0,-16
0,"[0, 2, 3, 1, 0]",0,1,0,-17
0,"[3, 0, 1, 3, 0]",1,3,0,-18
